Chr	GeneID	Start	Stop	CodingLength	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10
chr1	AADACL3	12776118	12788726	4049	0	0	0	0	0	0	0	0	0	0
chr1	AADACL4	12704566	12727097	1575	2	2	8	0	4	2	2	2	2	2
chr1	ABCA4	94458394	94586705	7325	186	148	224	138	180	150	208	176	176	130
chr1	ABCB10	229652329	229694442	3857	3468	2304	4036	2732	2698	3004	2606	3072	3090	2444
chr1	ABCD3	94883933	94984219	3797	10658	6054	11656	7812	7096	9280	6848	8800	9048	6550
chr1	ABL2	179068462	179198819	12649	18978	7990	23684	17464	8170	16656	8242	19694	20494	7470
chr1	ACADM	76190043	76229355	2615	3856	2856	4306	3066	3184	3456	3388	3268	3384	3026
chr1	ACAP3	1227764	1243269	3759	2188	2880	2444	1426	4780	1512	4068	1990	2092	4344
chr1	ACBD3	226332380	226374423	3565	7570	4934	8484	5510	4590	6594	5074	6404	6494	4078
chr1	ACBD6	180257352	180472022	1616	3006	3548	3544	2172	5974	2722	4980	2856	2692	5598
chr1	ACOT11	55013807	55100417	3391	112	150	186	120	270	106	176	102	138	240
chr1	ACOT7	6324332	6453826	2389	7558	10110	9454	5974	16006	6790	14308	7428	7256	16320
chr1	ACP6	147119168	147142634	1808	298	480	284	188	534	224	574	240	254	568
chr1	ACTA1	229566993	229569843	1492	8	22	26	10	14	4	12	10	8	18
chr1	ACTL8	18081808	18153558	1861	2	0	0	0	2	0	0	2	0	2
chr1	ACTN2	236849770	236927558	4528	32	12	16	18	26	28	24	22	30	6
chr1	ACTRT2	2938046	2939467	1422	0	2	0	0	0	0	0	0	0	0
chr1	ADAM15	155023762	155035252	2967	24336	27418	30004	17982	37900	20236	35862	22868	21798	36126
chr1	ADAMTS4	161159538	161168845	4332	102	60	90	52	90	70	82	84	118	192
chr1	ADAMTSL4	150521898	150533412	4299	1766	2212	1960	1172	2290	1458	2632	1768	1730	2202
chr1	ADAR	154554534	154600456	7092	71996	52924	81582	41748	46938	64090	60236	60934	54602	41598
chr1	ADC	33546714	33585995	2182	32	38	42	40	46	42	36	50	44	48
chr1	ADCK3	227127938	227175246	2924	1738	2350	1970	1078	2740	1294	3078	1470	1324	3238
